中文技能章,韩文技能章
国际友谊章,국제우정장
多文化了解章,다문화이해장
外国语章,외국어장
国际活动章,국제활동장
家庭经济章,가정경제장
市民章,시민장
健康管理章,건강관리장
辩论章,응변장
学业章,학업장
花郎道章,화랑도장
保型章(指导者章),보형장
孝行章,효행장
就业探索章,진로탐색장
急救章,응급처치장
公共卫生章,공중위생장
救助章,구조장
消防章,소방장
安全章,안전장
引导章(案内，向导),안내장
消费者保护章,소비자보호장
社会福利章,사회복지장
交通安全章,교통안전장
志愿服务章,자원봉사장
残障人服务章,장애이해장
露营章,야영장
先锋章,개척장
营地烹饪章,야외취사장
测量地图章,측정지도장
定向越野章,오리엔티어링장
徒步旅行章,하이킹장
生存章,생존장
登山章,등산장
剑道章,검도장
西洋弓箭章(复合弓),양궁장
射击章,사격장
冬季运动章,겨울스포츠장
马术章,승마장
柔道章,유도장
跆拳道章,태권도장
垂钓章,낚시장
自行车章,자전거장
游泳章,수영장
摔跤章,씨름장
传统射箭章,국궁장
生活体育章,생활체육장
休闲体育章,레포츠장
球技章,구기장
水上活动章,수상안전장
文艺创作章,문예창작장
影像制作章,영상제작장
动漫制作章,애니메이션제작장
围棋章,바둑장
象棋章,장기장
摄影章,사진장
演剧章,연극장
音乐章,음악장
收藏章,수집장
服装文化章,의류문화장
美术章,미술장
模型制作章,모형제작장
娱乐章,레크리에이션장
旅行章,여행장
蜡染章,날염장
环境保护章,환경보호장
资源保护章,자원보호장
地球村开发章,지구촌개발장
环境监视章,환경감시장
污染测定章,오염측정장
文化遗产章,문화재장
传统礼仪章,전통예절장
传统艺术章,전통예술장
民俗游艺章,민속놀이장
信号章,신호장
舆论报道章,언론보도장
电脑章,컴퓨터장
信息处理章,정보처리장
互联网通讯章,컴퓨터통신장
网游章,온라인게임장
电脑设计章,컴퓨터디자인장
编辑•出版章,편집출판장
业余无线通讯章,아마추어무선장
海洋水产章,해양수산장
气象章,기상장
动物保护章,동물보호장
植物章,식물장
天文章,천문장
化学章,화학장
地质研究章,지질연구장
能源章,에너지장
电气章,전기장
烹饪章,요리장
家庭工艺,가정공예장
农畜产（用）品章,농축산품장
自用车管理章,자동차관리장
航空章,항공장
